Consumer,Perfume,Liking
13313,L'instant,8
13313,Lolita Lempicka,8
13313,Pleasures,8
13313,Pure Poison,9
13313,Shalimar,8
13428,Angel,1
13428,Aromatics Elixir,5
13428,Chanel N5,3
13428,Cinema,5
13428,Coco Mademoiselle,6
13428,J'adore EP,5
13428,J'adore ET,8
13428,L'instant,6
13428,Lolita Lempicka,1
13428,Pleasures,7
13428,Pure Poison,7
13428,Shalimar,1
13538,Angel,7
13538,Aromatics Elixir,5
13538,Chanel N5,7
13538,Cinema,7
13538,Coco Mademoiselle,8
13538,J'adore EP,5
13538,J'adore ET,7
13538,L'instant,5
13538,Lolita Lempicka,5
13538,Pleasures,6
13538,Pure Poison,6
13538,Shalimar,7
13617,Angel,7
13617,Aromatics Elixir,1
13617,Chanel N5,3
13617,Cinema,7
13617,Coco Mademoiselle,9
13617,J'adore EP,7
13617,J'adore ET,6
13617,L'instant,6
13617,Lolita Lempicka,6
13617,Pleasures,4
13617,Pure Poison,8
13617,Shalimar,2
13618,Angel,7
13618,Aromatics Elixir,7
13618,Chanel N5,2
13618,Cinema,8
13618,Coco Mademoiselle,3
13618,J'adore EP,3
13618,J'adore ET,6
13618,L'instant,8
13618,Lolita Lempicka,7
13618,Pleasures,6
13618,Pure Poison,6
13618,Shalimar,7
13645,Angel,7
13645,Aromatics Elixir,5
13645,Chanel N5,8
13645,Cinema,7
13645,Coco Mademoiselle,7
13645,J'adore EP,6
13645,J'adore ET,6
13645,L'instant,7
13645,Lolita Lempicka,5
13645,Pleasures,8
13645,Pure Poison,8
13645,Shalimar,5
13648,Angel,5
13648,Aromatics Elixir,4
13648,Chanel N5,1
13648,Cinema,6
13648,Coco Mademoiselle,5
13648,J'adore EP,6
13648,J'adore ET,2
13648,L'instant,6
13648,Lolita Lempicka,4
13648,Pleasures,6
13648,Pure Poison,4
13648,Shalimar,2
